,URL,DB_name,Updated_date,Extracted_URLs
0,https://dbdb.io/db/1010data,1010data,"Jan. 2, 2022, 8:43 p.m.","['N/A', 'http://www.1010data.com/', 'https://www.1010data.com/products/insights-platform/data-acquisition-data-management/', 'https://twitter.com/1010data', '/browse?country=US', 'N/A', '/browse?type=commercial']"
1,https://dbdb.io/db/3store,3store,"Sept. 28, 2023, 11:30 p.m.","['N/A', '/browse?data-model=triplestore-rdf', '/browse?query-interface=sparql', '/browse?system-architecture=shared-everything', 'http://threestore.sourceforge.net/', 'https://sourceforge.net/projects/threestore/', 'http://threestore.sourceforge.net/documentation.php', 'N/A', '/browse?country=GB', 'N/A', 'N/A', '/browse?type=academic', '/browse?programming=c', '/browse?supported=c', '/browse?embeds=berkeley-db', '/browse?license=gpl-v2']"
2,https://dbdb.io/db/4d,4D,"Dec. 10, 2019, 11:54 p.m.","['N/A', 'N/A', '/browse?checkpoints=consistent', '/browse?concurrency-control=not-supported', '/browse?data-model=relational', '/browse?foreign-keys=supported', '/browse?indexes=btree', '/browse?isolation-levels=read-committed', '/browse?joins=nested-loop-join', '/browse?logging=physical-logging', '/browse?query-compilation=code-generation', '/browse?query-execution=materialized-model', '/browse?query-interface=custom-api', '/browse?storage-architecture=disk-oriented', '/browse?storage-model=n-ary-storage-model-rowrecord', '/browse?stored-procedures=supported', '/browse?system-architecture=shared-everything', '/browse?views=virtual-views', 'https://4d.com', 'https://doc.4d.com', 'N/A', '/browse?country=FR', 'N/A', 'N/A', '/browse?type=commercial', '/browse?supported=sql', '/browse?os=ios', '/browse?license=proprietary', 'https://en.wikipedia.org/wiki/4th_Dimension_(software)']"
3,https://dbdb.io/db/4store,4store,"June 3, 2018, 8:21 p.m.","['N/A', '/browse?data-model=triplestore-rdf', '/browse?query-interface=sparql', 'https://4store.danielknoell.de/', 'https://github.com/4store/4store', '/browse?country=GB', 'N/A', '/browse?type=open-source', '/browse?programming=c', '/browse?license=gpl-v3']"
4,https://dbdb.io/db/abhot,abhot,"Oct. 1, 2023, 7:22 p.m.","['N/A', 'https://github.com/quqiangsheng/abhot', 'https://github.com/quqiangsheng/abhot', '/browse?country=CN', 'N/A', 'N/A', '/browse?type=academic', '/browse?programming=java', '/browse?derived=kairosdb', '/browse?license=apache-v2']"
5,https://dbdb.io/db/access,Access,"June 26, 2022, 11:18 p.m.","['N/A', 'N/A', '/browse?checkpoints=not-supported', '/browse?compression=bit-packing-mostly-encoding', '/browse?concurrency-control=multi-version-concurrency-control-mvcc', '/browse?data-model=relational', '/browse?foreign-keys=supported', '/browse?indexes=btree', '/browse?isolation-levels=read-uncommitted', '/browse?logging=not-supported', '/browse?query-compilation=jit-compilation', '/browse?query-execution=materialized-model', '/browse?query-interface=custom-api', '/browse?storage-architecture=disk-oriented', '/browse?storage-model=n-ary-storage-model-rowrecord', '/browse?stored-procedures=supported', '/browse?system-architecture=shared-everything', '/browse?views=not-supported', 'http://office.microsoft.com/en-us/access', 'https://twitter.com/MSAccess', 'N/A', '/browse?country=US', 'N/A', 'N/A', '/browse?type=commercial', '/browse?programming=cplusplus', '/browse?supported=visual-basic', '/browse?compatible=sql-server', '/browse?os=windows', '/browse?license=proprietary', 'https://en.wikipedia.org/wiki/Microsoft_Access']"
6,https://dbdb.io/db/accumulo,Accumulo,"June 26, 2022, 11:18 p.m.","['N/A', 'N/A', '/browse?compression=prefix-compression', '/browse?concurrency-control=multi-version-concurrency-control-mvcc', '/browse?data-model=column-family', '/browse?query-interface=custom-api', '/browse?storage-architecture=disk-oriented', '/browse?storage-model=n-ary-storage-model-rowrecord', '/browse?stored-procedures=not-supported', '/browse?system-architecture=shared-disk', '/browse?views=not-supported', 'http://accumulo.apache.org/', 'https://github.com/apache/accumulo', 'https://accumulo.apache.org/docs/2.x/', 'https://twitter.com/ApacheAccumulo', 'N/A', '/browse?country=US', 'N/A', '/browse?type=open-source', '/browse?programming=java', '/browse?inspired=cloud-bigtable', '/browse?license=apache-v2', 'https://en.wikipedia.org/wiki/Apache_Accumulo']"
7,https://dbdb.io/db/acebase,AceBase,"July 25, 2023, 8:56 a.m.","['N/A', '/browse?data-model=document-xml', '/browse?indexes=inverted-index-full-text', '/browse?query-interface=custom-api', '/browse?storage-model=n-ary-storage-model-rowrecord', '/browse?system-architecture=shared-everything', 'https://acebase.io', 'https://github.com/appy-one/acebase', 'https://github.com/appy-one/acebase/tree/master/docs', 'https://twitter.com/AcebaseRealtime', 'N/A', '/browse?country=NL', 'N/A', '/browse?type=hobby', '/browse?programming=typescript', '/browse?supported=typescript', '/browse?os=linux', '/browse?license=mit']"
8,https://dbdb.io/db/acedb,AceDB,"May 28, 2018, 10:32 p.m.","['N/A', 'http://www.acedb.org/', 'https://github.com/richarddurbin/acedb', 'N/A', '/browse?country=GB', 'N/A', 'N/A', '/browse?type=academic', '/browse?programming=c', '/browse?license=gpl-v2', 'https://en.wikipedia.org/wiki/AceDB']"
9,https://dbdb.io/db/activepivot,ActivePivot,"Jan. 2, 2022, 8:44 p.m.","['N/A', 'N/A', '/browse?checkpoints=not-supported', '/browse?compression=dictionary-encoding', '/browse?concurrency-control=multi-version-concurrency-control-mvcc', '/browse?data-model=relational', '/browse?foreign-keys=supported', '/browse?hardware-acceleration=custom', '/browse?indexes=bitmap', '/browse?isolation-levels=snapshot-isolation', '/browse?logging=not-supported', '/browse?parallel-execution=intra-operator', '/browse?query-compilation=jit-compilation', '/browse?query-interface=custom-api', '/browse?storage-architecture=in-memory', '/browse?storage-model=decomposition-storage-model-columnar', '/browse?system-architecture=shared-nothing', '/browse?views=materialized-views', 'https://activeviam.com/en/products/activepivot-in-memory-analytical-database', 'https://www.activeviam.com/activepivot', 'https://twitter.com/ActiveViam', 'N/A', '/browse?country=FR', '/browse?type=commercial', '/browse?programming=java', '/browse?license=proprietary']"
